"","Shom_PJ_011","Shom_PJ_012","Shom_PJ_013","Shom_PJ_014","Shom_PJ_015","Shom_PJ_016","Shom_PJ_017","Shom_PJ_018","Shom_PJ_019"
"Shom_DM18D10_00511",145375,103886,190284,22411,18667,25198,48663,44896,48182
"Shom_DM18D10_00512",29227,16569,36187,15186,12960,17129,23589,29495,27349
"Shom_DM18D10_00513",8475,9204,7735,4575,5083,4163,5315,4631,5358
"Shom_DM18D10_00514",21918,25215,18493,32736,31198,25905,43508,35956,37074
"Shom_DM18D10_00515",58718,50578,68892,26190,27143,26315,41252,36610,41293
"Shom_DM18D10_00516",33604,29138,42211,14160,15187,14563,17810,18386,23025
"Shom_DM18D10_00517",22570,21497,27483,14613,14651,11332,15365,13762,17644
"Shom_DM18D10_00518",22185,21428,31749,14544,14723,11132,11614,11250,17208
"Shom_DM18D10_00519",13787,9653,20073,4066,3861,4294,6087,6576,6508
"Shom_DM18D10_00520",171895,135468,266382,96742,93527,93389,96952,90529,127715
"Shom_DM18D10_00521",7404,8062,9928,5045,5803,4473,6197,5038,6186
"Shom_DM18D10_00522",6725,9078,8256,5061,5745,4228,6242,4929,5891
"Shom_DM18D10_00523",2191,2772,2810,1356,1531,1311,1678,1339,1579
"Shom_DM18D10_00524",3829,4262,4534,2293,2286,1991,2974,2192,2579
"Shom_DM18D10_00525",9276,8282,10571,4230,4378,4104,5156,4795,5358
"Shom_DM18D10_00526",5034,3971,6422,1586,1574,2144,1780,1886,2418
"Shom_DM18D10_00527",17844,17245,26323,1409,1488,2551,1636,1373,3052
"Shom_DM18D10_00528",11681,10602,16689,934,891,1531,1137,905,2124
"Shom_DM18D10_00529",13237,10941,20067,1003,1011,1653,1230,1074,1967
"Shom_DM18D10_00530",9146,8979,13705,2590,2640,3253,1872,1819,3465
"Shom_DM18D10_00531",44650,31114,61435,34807,32272,32625,33878,42690,41425
"Shom_DM18D10_00532",42751,28051,50218,39674,32580,33393,43935,52816,48122
"Shom_DM18D10_00533",70916,59423,102172,55031,48076,51999,77392,75524,87185
"Shom_DM18D10_00534",50668,51834,46089,11707,15511,10227,25446,17895,12793
"Shom_DM18D10_00535",17400,15987,13192,3053,4487,2263,6279,4469,2880
"Shom_DM18D10_00536",37985,30019,22800,6065,6668,5314,10345,8369,7339
"Shom_DM18D10_00537",11494,7114,14353,7088,6684,8156,8853,7716,7381
"Shom_DM18D10_00538",72416,66324,117107,56856,54321,48218,66185,49096,62476
"Shom_DM18D10_00539",9302,6986,12615,5464,4886,5077,6317,6383,7294
"Shom_DM18D10_00540",1591,1520,2118,696,606,734,1087,951,1015
"Shom_DM18D10_00541",6550,6655,6416,8912,7969,8653,11582,15149,14587
"Shom_DM18D10_00542",3090,2648,3551,1474,1390,1491,1494,1365,1683
"Shom_DM18D10_00543",8109,6213,11602,2971,2972,2943,3388,3672,4138
"Shom_DM18D10_00544",182090,130005,247377,38942,38795,57617,76375,87286,97029
"Shom_DM18D10_00545",13176,11637,18790,7490,7040,6258,7267,5657,7339
"Shom_DM18D10_00546",5748,6763,8355,4413,4575,3324,3487,2830,4770
"Shom_DM18D10_00547",35370,38763,40945,16904,18239,17424,13880,14177,21253
"Shom_DM18D10_00548",84785,46508,82737,89941,72755,94659,96674,110374,88413
"Shom_DM18D10_00549",3367,1804,3581,3433,2864,3444,3465,4344,3930
"Shom_DM18D10_00550",2752,1582,3470,2319,1972,2230,2028,2600,2726
"Shom_DM18D10_00551",10049,6905,12388,8261,7172,7322,10516,15485,14172
"Shom_DM18D10_00552",29133,16798,34850,16504,14017,16403,23059,31389,25393
"Shom_DM18D10_00553",11110,9919,18820,3978,4358,5566,4637,5871,7267
"Shom_DM18D10_00554",523,511,744,334,303,375,379,392,596
"Shom_DM18D10_00555",1202,1276,1817,787,818,896,815,988,1404
"Shom_DM18D10_00556",30641,21975,35708,18589,18009,26323,20466,19542,23538
"Shom_DM18D10_00557",26947,19341,29360,13800,13246,15592,16569,16048,16627
"Shom_DM18D10_00558",13343,9430,14808,6281,6410,7439,7302,7938,8090
"Shom_DM18D10_00559",1675,1652,1439,2309,1919,3165,4897,6838,5971
"Shom_DM18D10_00560",37012,26871,49662,14279,14216,12928,16126,16152,18102
"Shom_DM18D10_00561",38287,26540,53163,14106,14501,14312,16379,17732,18996
"Shom_DM18D10_00562",3536,2999,4816,1883,1747,1757,2920,2584,2914
"Shom_DM18D10_00563",12242,13313,19209,8846,7933,9089,10222,9469,14093
"Shom_DM18D10_00564",1479,1437,2032,886,970,1144,1098,1456,1850
"Shom_DM18D10_00565",29096,35806,34874,29637,26663,22390,66385,36500,37423
"Shom_DM18D10_00566",100905,99676,124048,22785,25431,29121,27367,28228,39020
"Shom_DM18D10_00567",49312,49581,62232,9818,12270,14481,10434,12591,18395
"Shom_DM18D10_00568",8969,9179,12833,3697,3746,4198,4782,4523,6062
"Shom_DM18D10_00569",8361,8400,11447,2921,3277,4232,3475,3979,5842
"Shom_DM18D10_00570",8447,6553,12025,2607,2807,3451,3214,3548,4762
