"","Shom_PJ_020","Shom_PJ_021","Shom_PJ_022","Shom_PJ_023","Shom_PJ_024","Shom_PJ_025","Shom_PJ_026","Shom_PJ_027","Shom_PJ_028"
"Shom_DM21B05_02143",11595,9024,9635,6646,6892,5785,6217,8236,7179
"Shom_DM21B05_02144",189170,146483,124586,155638,143019,153571,171425,209799,124020
"Shom_DM21B05_02145",46543,35771,35408,21117,21478,18318,11298,13976,19453
"Shom_DM21B05_02146",38490,30374,29276,18307,18676,16194,10948,13426,16685
"Shom_DM21B05_02147",137862,103783,82417,77762,70286,105675,174890,172823,85679
"Shom_DM21B05_02148",21844,18605,18924,15770,15337,11812,10100,12046,13300
"Shom_DM21B05_02149",26932,22044,22955,19645,19328,14171,10350,12206,17062
"Shom_DM21B05_02150",38860,31826,33272,27500,27148,19546,10772,13159,22871
"Shom_DM21B05_02151",32922,27194,29237,51535,47635,40967,66411,58123,47137
"Shom_DM21B05_02152",17033,13484,12044,16478,15521,11074,10029,13864,12734
"Shom_DM21B05_02153",23563,18728,17352,22921,21018,14728,12113,17502,17522
"Shom_DM21B05_02154",41233,32106,29784,35942,33881,24964,20160,27880,27298
"Shom_DM21B05_02155",35656,26719,26412,28389,26619,19910,16361,22217,21393
"Shom_DM21B05_02156",5149,4142,4021,3590,3813,2140,985,1383,2803
"Shom_DM21B05_02157",2556,1838,1801,1789,1699,1060,569,767,1256
"Shom_DM21B05_02158",115838,90114,75834,81645,75160,62429,71426,70858,42401
"Shom_DM21B05_02159",1222,1010,966,944,990,864,949,1301,785
"Shom_DM21B05_02160",17029,13569,12800,11606,11355,9181,7442,10691,10199
"Shom_DM21B05_02161",6767,5404,5561,4259,4301,3380,3531,4614,4003
"Shom_DM21B05_02162",11841,9441,9581,7725,7516,5561,5368,6694,6765
"Shom_DM21B05_02163",45601,34727,36112,28002,27909,20404,15757,18690,23982
"Shom_DM21B05_02164",71938,55197,61130,32039,32532,24656,14207,14679,31290
"Shom_DM21B05_02165",5719,4354,4756,2875,3119,2078,1850,2028,2683
"Shom_DM21B05_02166",7320,5523,5682,3542,4001,2437,2111,2358,3366
"Shom_DM21B05_02167",1456,1140,1122,763,781,531,633,688,608
"Shom_DM21B05_02168",375938,288298,282620,249315,252845,184778,104714,105422,172225
"Shom_DM21B05_02169",38446,30430,28092,27887,27262,21087,15275,14229,19299
"Shom_DM21B05_02170",687,534,496,574,574,464,723,830,397
"Shom_DM21B05_02171",5252,4017,3550,4321,4040,3218,4282,4738,2801
"Shom_DM21B05_02172",27821,21884,22772,18340,19345,13243,18109,16027,13976
"Shom_DM21B05_02173",16015,12438,13108,11946,11336,9523,12794,14772,9485
"Shom_DM21B05_02174",35797,29597,29592,23893,23350,18644,16779,18828,19216
"Shom_DM21B05_02175",41454,33968,33564,45506,45100,31910,25026,30367,35522
"Shom_DM21B05_02176",7940,6307,6237,7960,8108,5330,5276,5788,5940
"Shom_DM21B05_02177",2685,1933,2049,1316,1414,1113,1168,1222,964
"Shom_DM21B05_02178",6685,4659,5949,2249,2738,1508,2615,1852,1882
"Shom_DM21B05_02179",3195,2368,2486,2532,2357,1711,2318,3649,2285
"Shom_DM21B05_02180",24122,19030,20328,18630,18406,13709,10037,16261,18077
"Shom_DM21B05_02181",14863,11402,11699,10519,10078,8481,3725,5462,10319
"Shom_DM21B05_02182",59813,46437,47205,46874,43331,35711,26266,33994,42110
"Shom_DM21B05_02183",56546,45186,45230,45789,41645,34357,21888,30490,38548
"Shom_DM21B05_02184",86952,67312,67067,62890,60290,50899,26839,38576,56285
"Shom_DM21B05_02185",98180,76126,73326,75213,69336,58440,45172,66080,64367
"Shom_DM21B05_02186",87112,66067,63418,65177,60481,57684,39074,53030,54757
"Shom_DM21B05_02187",61682,48042,45214,46590,44459,40938,38504,45186,40832
"Shom_DM21B05_02188",36810,28379,27488,27652,25777,26334,22793,25554,24456
"Shom_DM21B05_02189",46351,35661,33384,28533,27997,19833,13581,19134,20342
"Shom_DM21B05_02190",27154,21214,20510,15718,15229,11733,7735,10482,12087
"Shom_DM21B05_02191",50151,38914,37397,28236,27312,21333,13929,17102,22748
"Shom_DM21B05_02192",24316,18261,17201,13336,12109,9833,8157,8521,10416
"Shom_DM21B05_02193",4725,3685,3613,2785,2942,2163,3091,3523,2653
"Shom_DM21B05_02194",8706,6854,6750,5204,5378,4139,5684,6594,4705
"Shom_DM21B05_02195",55285,42816,30361,149842,132184,122963,124657,155071,134831
"Shom_DM21B05_02196",30726,22949,16332,76033,66944,64985,72475,90444,80559
"Shom_DM21B05_02197",64,44,55,120,79,59,72,80,95
"Shom_DM21B05_02198",23529,19258,17440,18117,17369,14857,17573,18113,13672
"Shom_DM21B05_02199",5353,4153,3764,3857,3433,3039,2836,3166,2815
"Shom_DM21B05_02200",32663,25577,23949,25785,24538,20562,14185,18998,18855
"Shom_DM21B05_02201",57459,45172,43789,41877,41952,32224,23007,27196,32586
"Shom_DM21B05_02202",27631,22157,24433,16483,17790,10879,12857,11305,12923
"Shom_DM21B05_02203",38284,28510,24251,31309,30661,25317,19695,24494,21174
"Shom_DM21B05_02204",24574,18551,14943,19996,18370,14783,8124,11640,13091
"Shom_DM21B05_02205",22714,17569,13932,21213,19838,18299,13075,15147,12977
"Shom_DM21B05_02206",4805,4189,3959,2755,2888,1774,3580,2946,2687
"Shom_DM21B05_02207",60818,49634,49800,33238,32358,27500,59377,40878,29550
"Shom_DM21B05_02208",22657,17684,18184,24748,24875,13852,20998,25022,14966
"Shom_DM21B05_02209",42741,32515,30540,32123,29304,29033,32356,38278,31811
"Shom_DM21B05_02210",8496,6312,6086,5511,5140,4054,4673,6091,6410
"Shom_DM21B05_02211",7227,6058,5359,5983,5359,3865,4038,5046,6919
"Shom_DM21B05_02212",9982,7983,5588,8681,8157,6888,6305,7114,10276
"Shom_DM21B05_02213",13262,11125,7559,12137,11333,9068,8328,9205,13499
"Shom_DM21B05_02214",8381,7748,4935,7857,7804,5898,5888,6466,8704
"Shom_DM21B05_02215",9305,9125,5304,8867,8771,6165,6501,7593,9689
"Shom_DM21B05_02216",5430,5757,3005,5427,5040,3265,5037,5509,5327
"Shom_DM21B05_02217",88947,72152,72429,35027,36086,30698,43804,39501,39908
"Shom_DM21B05_02218",11195,8773,9193,9182,8959,6832,9668,9749,8126
"Shom_DM21B05_02219",22297,14038,10314,28573,23454,22383,26219,37818,29328
"Shom_DM21B05_02220",8558,5738,4438,8310,6574,6069,3674,4638,8485
"Shom_DM21B05_02221",6933,4760,3678,6683,5370,5419,3008,3750,6947
"Shom_DM21B05_02222",15188,10460,8399,14403,11842,12826,9666,10116,14303
"Shom_DM21B05_02223",5305,3611,2990,4484,3714,3773,3372,3252,4292
"Shom_DM21B05_02224",69294,52236,37550,55756,49894,63668,44924,52255,38110
"Shom_DM21B05_02225",572,462,428,515,501,328,801,630,347
"Shom_DM21B05_02226",1791,2639,4723,1671,2676,4992,20306,47916,13644
"Shom_DM21B05_02227",92531,72944,73467,49386,47610,37288,41157,38322,40521
"Shom_DM21B05_02228",52514,39887,39368,28070,27278,21493,23044,23864,23603
"Shom_DM21B05_02229",1006,719,609,5023,3635,1494,13576,9312,7976
"Shom_DM21B05_02230",682,580,421,5621,4304,1563,12156,8120,8418
"Shom_DM21B05_02231",233,150,111,3158,2350,588,4419,3376,3856
"Shom_DM21B05_02232",536,420,343,6088,4341,1134,7515,6243,6917
"Shom_DM21B05_02233",549,428,350,7317,5618,1416,11319,8684,8797
