"","Scap_PJ_001","Scap_PJ_002","Scap_PJ_003","Scap_PJ_004","Scap_PJ_005","Scap_PJ_006","Scap_PJ_007","Scap_PJ_008","Scap_PJ_009"
"Scap_DM21G11_01283",3470,4029,4334,1545,1102,1565,1250,1226,974
"Scap_DM21G11_01284",5053,6340,6966,2273,1883,3023,2083,2172,2042
"Scap_DM21G11_01285",8696,10578,11318,6229,5255,8708,5588,6620,6687
"Scap_DM21G11_01286",227609,173231,176091,235279,158483,247975,129830,134159,120231
"Scap_DM21G11_01287",72989,75585,82829,74860,56663,93668,62839,63624,61507
"Scap_DM21G11_01288",10266,12523,13854,4855,3338,4681,3929,3388,3316
"Scap_DM21G11_01289",10509,10652,11580,8954,6816,10572,8497,8463,7318
"Scap_DM21G11_01290",15265,15871,18509,13100,10290,16240,12975,13109,12465
"Scap_DM21G11_01291",2548,2744,3332,2160,1729,2452,1978,2070,1862
"Scap_DM21G11_01292",11602,12324,13458,8615,5809,9447,6934,6410,5911
"Scap_DM21G11_01293",10307,10803,11758,7588,5527,8957,7110,7240,6636
"Scap_DM21G11_01294",7630,7785,7949,4689,3124,4820,3493,3228,3009
"Scap_DM21G11_01295",576,627,739,427,348,567,464,498,498
"Scap_DM21G11_01296",234,249,329,170,128,184,163,150,155
"Scap_DM21G11_01297",83,99,103,91,59,104,86,72,82
"Scap_DM21G11_01298",103,123,160,74,73,148,103,97,104
"Scap_DM21G11_01299",77,116,147,59,68,124,89,95,108
"Scap_DM21G11_01300",61,67,87,35,38,67,38,52,61
"Scap_DM21G11_01301",5675,6183,6488,9719,7691,10864,6177,6510,5387
"Scap_DM21G11_01302",8244,8330,8504,29390,21576,33483,17921,17859,16080
"Scap_DM21G11_01303",28330,29696,29523,114801,95779,155463,86122,92218,91849
"Scap_DM21G11_01304",21405,21003,18579,74259,55882,95189,49821,48899,48579
"Scap_DM21G11_01305",67062,64015,65099,37062,28302,41581,36246,36346,32923
"Scap_DM21G11_01306",12504,13592,14337,11933,8312,13152,9251,8707,8618
"Scap_DM21G11_01307",876,932,901,500,367,521,374,341,367
"Scap_DM21G11_01308",10512,11713,13067,9438,7271,11126,7708,8219,7827
"Scap_DM21G11_01309",34676,32256,33372,38452,28140,44012,33251,35398,34490
"Scap_DM21G11_01310",37419,38168,38621,20483,14690,23166,17373,17604,16982
"Scap_DM21G11_01311",5991,6089,6522,5266,3075,5506,3252,3001,2651
"Scap_DM21G11_01312",25896,27574,33597,21425,14963,25271,17854,17228,16773
"Scap_DM21G11_01313",11023,12451,16415,9894,7892,11832,9733,9910,9479
"Scap_DM21G11_01314",10578,12306,14391,7698,6774,10449,8297,9051,8661
"Scap_DM21G11_01315",52056,60000,68439,33312,28663,44803,36718,38417,37240
"Scap_DM21G11_01316",7475,8239,8787,4063,2953,4976,3539,3435,3093
"Scap_DM21G11_01317",30651,33703,34198,14610,10439,16590,12425,11304,10382
"Scap_DM21G11_01318",15256,15647,17026,18132,13433,22266,10022,10735,10191
"Scap_DM21G11_01319",46314,47798,52039,53206,41495,64530,30086,30096,28097
"Scap_DM21G11_01320",24828,30127,36443,24151,18814,30321,13584,14266,12566
"Scap_DM21G11_01321",17629,20087,26313,16807,11776,18568,9668,8886,8068
"Scap_DM21G11_01322",26030,30771,39827,25138,18326,29828,14289,13790,12237
"Scap_DM21G11_01323",58308,72201,85946,45236,36189,61809,29719,30754,30155
"Scap_DM21G11_01324",24522,24242,25404,18320,14133,20893,19014,18891,15980
"Scap_DM21G11_01325",46221,48595,51850,33450,30782,47731,44087,47845,43545
"Scap_DM21G11_01326",4031,3717,4315,11868,7702,12291,9366,8649,7992
"Scap_DM21G11_01327",144307,144203,161577,80725,62633,96761,69833,72301,67202
"Scap_DM21G11_01328",7969,8137,9598,50339,39190,58764,42833,42207,40177
"Scap_DM21G11_01329",37428,44400,54482,26746,18909,33005,18310,19128,18892
"Scap_DM21G11_01330",25335,26109,31192,32719,23180,38841,18997,20063,19857
"Scap_DM21G11_01331",9901,11214,12932,11141,7502,12246,8479,7601,7581
"Scap_DM21G11_01332",18442,21575,22050,32451,24659,42893,24561,26966,26992
"Scap_DM21G11_01333",2953,2878,3053,4522,3650,5871,4264,4943,4685
"Scap_DM21G11_01334",1445,1469,1582,1979,1398,2432,1792,2017,2078
"Scap_DM21G11_01335",9757,9683,9710,9425,7164,10750,6488,6996,5962
"Scap_DM21G11_01336",3909,3984,4096,2970,1924,3076,2412,2011,1769
"Scap_DM21G11_01337",29951,30000,31429,26786,22082,32812,20898,22693,19641
"Scap_DM21G11_01338",43396,41707,44236,35829,29391,44349,29339,31776,27852
"Scap_DM21G11_01339",2707,2646,2976,5123,4218,6704,4072,4745,4672
"Scap_DM21G11_01340",18631,18832,22823,21121,16200,26059,17345,18969,17652
"Scap_DM21G11_01341",19369,20316,22659,19964,16831,29712,19279,22959,22810
"Scap_DM21G11_01342",18126,19260,21470,16029,12257,20650,12892,13505,13519
"Scap_DM21G11_01343",133043,118854,123106,57441,48079,72276,55432,59677,52059
"Scap_DM21G11_01344",87422,78026,84929,48137,42830,65861,53570,60259,57786
"Scap_DM21G11_01345",10689,11039,12642,15070,13521,20127,11857,12342,11211
"Scap_DM21G11_01346",3180,2857,2911,1362,961,1422,1006,878,822
"Scap_DM21G11_01347",5840,6059,7209,8231,6456,10265,7582,8268,8185
"Scap_DM21G11_01348",6100,6551,8014,8485,6286,10768,7957,8283,8438
"Scap_DM21G11_01349",108554,100380,140692,385369,240033,374214,255629,272173,289580
"Scap_DM21G11_01350",37065,43089,45992,16223,13708,21301,17597,18655,16259
"Scap_DM21G11_01351",7899,9371,9811,5372,4016,7610,5523,5606,5489
"Scap_DM21G11_01352",27597,28349,29477,14731,11588,18934,14028,14613,14051
