ID,category,SCNIH004,SCNIH009,SCNIH016,NIHLM087,SENIH040,SENIH047,SHNIH025,SHNIH027,SHNIH030
S0364,genus_core,1,1,1,1,1,1,2,1,1
S0367,genus_core,2,1,2,2,2,2,2,2,2
S0368,genus_core,2,1,2,2,2,2,2,2,2
S0370,genus_core,1,1,3,3,3,3,1,1,3
S0371,genus_core,1,1,1,1,1,1,3,1,3
S0372,species_restricted_core,1,1,1,2,2,1,0,0,0
S0374,genus_core,1,1,1,1,1,1,3,1,1
S0375,genus_core,1,1,1,2,2,1,1,1,1
S0376,genus_core,2,1,2,2,2,1,1,1,1
S0377,genus_core,2,1,2,2,1,1,1,1,2
S0378,genus_core,2,1,1,2,1,1,1,1,1
S0379,genus_core,2,1,1,1,1,2,1,1,1
S0380,genus_core,2,1,1,1,1,1,1,1,1
S0381,genus_core,2,1,1,1,1,1,2,1,1
S0382,genus_core,1,1,1,1,1,3,1,1,1
S0383,genus_core,1,1,1,1,2,1,1,1,1
S0384,genus_core,3,1,3,1,1,1,3,1,1
S0385,genus_core,3,1,3,1,1,1,3,1,1
S0387,genus_core,1,1,1,2,2,2,2,1,1
S0388,genus_core,2,1,1,1,1,1,1,1,2
S0390,genus_core,3,3,3,1,3,3,3,3,3
S0393,genus_core,2,1,2,2,2,2,2,1,2
S0394,genus_core,2,3,2,2,2,2,1,1,1
S0395,species_restricted_core,3,3,1,1,1,1,0,0,0
S0397,genus_core,1,1,2,1,1,1,2,2,2
S0398,genus_core,3,1,1,3,1,1,1,1,1
S0399,genus_core,1,1,1,3,1,1,1,1,1
S0401,genus_core,1,2,2,1,1,1,2,1,1
S0406,genus_core,1,1,1,1,1,1,3,1,3
S0407,genus_core,1,1,1,3,3,1,1,1,1
S0411,genus_core,1,3,1,1,1,1,1,1,1
S0412,genus_core,1,1,1,1,1,1,3,1,1
S0413,genus_core,1,1,1,1,1,1,1,1,3
S0414,genus_core,1,3,3,1,1,1,1,1,3
S0415,genus_core,3,3,3,1,1,1,1,1,1
S0416,genus_core,1,1,1,3,1,1,3,1,3
S0418,genus_core,1,1,1,3,1,1,1,1,1
S0419,genus_core,1,1,1,2,2,1,1,1,1
S0425,genus_core,2,2,2,2,2,2,2,2,1
S0426,genus_core,2,2,2,2,2,2,2,2,1
S0427,genus_core,1,1,1,3,3,3,1,1,1
S0428,genus_core,1,1,1,1,1,3,1,1,1
