"","Scap_PJ_010","Scap_PJ_011","Scap_PJ_012","Scap_PJ_013","Scap_PJ_014","Scap_PJ_015","Scap_PJ_016","Scap_PJ_017","Scap_PJ_018"
"Scap_LM7D7_a_00277",1399,1684,1800,10238,12870,9463,7316,13713,10600
"Scap_LM7D7_a_00278",639,786,798,4918,5961,4412,3634,6622,5659
"Scap_LM7D7_a_00279",2246,3345,3109,23382,28251,20756,14956,29216,24656
"Scap_LM7D7_a_00280",1249,1642,2176,12020,15979,12342,8263,17337,13714
"Scap_LM7D7_a_00281",826,1259,1148,4568,5996,4410,10233,10808,8882
"Scap_LM7D7_a_00282",4496,4544,4532,12058,7759,7874,8875,15978,9806
"Scap_LM7D7_a_00283",227,279,136,229,226,242,659,477,643
"Scap_LM7D7_a_00284",72588,72431,81674,58072,101528,78311,19437,6831,11430
"Scap_LM7D7_a_00285",14432,13954,11727,9712,15117,12060,3745,1640,2354
"Scap_LM7D7_a_00286",8862,10023,10572,10944,14082,11492,5414,5241,6226
"Scap_LM7D7_a_00287",6519,6118,6121,22096,22121,21244,47524,61256,59762
"Scap_LM7D7_a_00288",6424,6386,5418,5191,5767,5713,6299,7772,6851
"Scap_LM7D7_a_00289",9385,6645,7305,18702,16114,18480,20515,24514,28439
"Scap_LM7D7_a_00290",6674,5279,5480,22052,19631,19453,24693,25990,30797
"Scap_LM7D7_a_00291",2331,2823,2192,7002,8812,7701,7450,4395,7758
"Scap_LM7D7_a_00292",2723,3286,3035,7267,7795,7164,4524,4473,6107
"Scap_LM7D7_a_00293",1798,2127,2057,1812,1854,1724,2542,3151,2525
"Scap_LM7D7_a_00294",4204,4853,3475,4439,4763,4447,5535,6441,5436
"Scap_LM7D7_a_00295",563,709,498,1307,1549,1408,1067,1613,1179
"Scap_LM7D7_a_00296",9946,13114,10926,26800,28879,28085,23679,19165,24076
"Scap_LM7D7_a_00297",2587,2976,3471,110073,128999,99913,103106,129330,116521
"Scap_LM7D7_a_00298",7346,8090,7657,60771,78608,60287,66185,76038,72335
"Scap_LM7D7_a_00299",100876,122342,113568,149724,182640,165408,175241,153419,176050
"Scap_LM7D7_a_00300",1235,1536,1529,1287,1449,1452,1527,1113,1437
"Scap_LM7D7_a_00301",544,666,538,392,475,396,781,860,690
"Scap_LM7D7_a_00302",1145,1215,862,839,966,802,1317,1656,1343
"Scap_LM7D7_a_00303",309932,360827,351547,237388,330260,331919,192199,73785,167282
"Scap_LM7D7_a_00304",18070,23238,19400,13417,18364,17845,17074,6601,18256
"Scap_LM7D7_a_00305",480,587,487,388,405,362,502,340,512
"Scap_LM7D7_a_00306",2327,2759,2268,2623,3528,3347,6542,3386,5084
"Scap_LM7D7_a_00307",2719,3974,3141,6506,8648,8505,4520,5331,5512
"Scap_LM7D7_a_00308",807,894,716,1413,1857,1662,4446,1772,3187
"Scap_LM7D7_a_00309",26129,29290,29905,17014,19715,16292,14348,7809,10531
"Scap_LM7D7_a_00310",2037,2323,1538,3904,6137,4833,4558,1957,3550
"Scap_LM7D7_a_00311",10887,13006,11912,12152,18933,16489,13154,9527,10587
"Scap_LM7D7_a_00312",127466,155497,167170,34998,52173,48842,43454,10440,31499
"Scap_LM7D7_a_00313",178534,205965,188740,48807,70565,67608,51842,16128,38510
"Scap_LM7D7_a_00314",29372,32180,41259,8201,10762,10843,9343,6349,8173
"Scap_LM7D7_a_00315",4987,5855,5276,5937,7466,7196,4121,5490,4791
"Scap_LM7D7_a_00316",5688,6846,5974,2028,2662,2166,2563,4109,2498
"Scap_LM7D7_a_00317",9754,11877,8497,3909,6073,4819,4185,7140,4506
"Scap_LM7D7_a_00318",4101,4979,3180,1332,2018,1587,1673,3048,1822
"Scap_LM7D7_a_00319",450,503,440,326,508,428,268,405,259
"Scap_LM7D7_a_00320",517,626,406,211,361,245,264,425,225
"Scap_LM7D7_a_00321",862,1468,1233,708,896,791,1073,1525,1524
"Scap_LM7D7_a_00322",3623,3807,2295,2130,2655,2523,2989,2379,2728
"Scap_LM7D7_a_00323",9751,12248,8310,16598,16668,17737,17331,14264,19845
"Scap_LM7D7_a_00324",1799,2043,1552,1648,1659,1605,2255,2008,2414
"Scap_LM7D7_a_00325",6396,6995,5549,4784,5248,5005,6181,6151,6819
"Scap_LM7D7_a_00326",58535,57756,36321,20384,27957,24721,14816,9485,11764
"Scap_LM7D7_a_00327",30106,34302,28335,8693,14462,12672,12564,13963,11362
"Scap_LM7D7_a_00328",2787,3636,3267,4687,5009,5222,5749,4492,6394
"Scap_LM7D7_a_00329",2166,3435,3503,4789,5085,4738,3900,5517,6256
"Scap_LM7D7_a_00330",1149,1782,1608,2984,2975,2992,2362,3159,3817
"Scap_LM7D7_a_00331",1376,2265,1907,4198,3960,3566,3079,4293,5270
"Scap_LM7D7_a_00332",1541,2893,3580,5591,4989,4603,3898,4927,6312
"Scap_LM7D7_a_00333",856,1270,1151,1658,1702,1391,1564,1865,2193
"Scap_LM7D7_a_00334",498,731,407,453,541,483,561,626,615
"Scap_LM7D7_a_00335",103,122,92,76,85,65,151,212,144
"Scap_LM7D7_a_00336",1501,1958,1259,4225,4412,4844,5056,5950,6450
"Scap_LM7D7_a_00337",537,694,446,1238,1343,1264,1588,2006,2192
