"","Scap_PJ_019","Scap_PJ_020","Scap_PJ_021","Scap_PJ_022","Scap_PJ_023","Scap_PJ_024","Scap_PJ_025","Scap_PJ_026","Scap_PJ_027"
"Scap_2C01_ad_00171",406,372,320,427,334,430,377,400,426
"Scap_2C01_ad_00172",342,339,283,349,298,332,293,375,353
"Scap_2C01_ad_00173",969,981,880,977,893,919,1071,1217,1159
"Scap_2C01_ad_00174",1492,1487,1335,1384,1175,1436,1757,2049,1856
"Scap_2C01_ad_00175",1025,1124,980,979,803,912,1292,1382,1354
"Scap_2C01_ad_00176",2145,2182,1951,1198,1070,1214,2060,2455,2326
"Scap_2C01_ad_00177",40277,39039,34005,73493,67156,82329,154536,175292,162174
"Scap_2C01_ad_00178",1557,1572,1332,2415,2369,2726,4531,4827,4763
"Scap_2C01_ad_00179",111578,112918,90549,118613,103666,112974,152103,181495,181693
"Scap_2C01_ad_00180",69751,63537,55893,120828,104260,122232,193530,205830,203791
"Scap_2C01_ad_00181",21970,26343,26831,1930,1981,2253,2148,2452,2250
"Scap_2C01_ad_00182",38671,48076,48257,3211,3283,3260,3364,3846,3928
"Scap_2C01_ad_00183",16719,18138,15149,25839,23671,27590,26718,30667,30209
"Scap_2C01_ad_00184",940,889,745,1214,1228,1445,1925,1926,1970
"Scap_2C01_ad_00185",188,162,138,261,273,319,435,428,370
"Scap_2C01_ad_00186",469,472,430,907,878,1034,1396,1324,1283
"Scap_2C01_ad_00187",44,37,39,104,97,150,182,141,128
"Scap_2C01_ad_00188",408,428,404,1404,1408,1911,2002,1933,1678
"Scap_2C01_ad_00189",1171,1073,912,2453,2417,2989,4415,4049,3821
"Scap_2C01_ad_00190",12066,13028,12003,9955,8879,10140,11696,12935,12302
"Scap_2C01_ad_00191",2875,3132,3042,3138,2941,3626,3652,4123,3713
"Scap_2C01_ad_00192",2777,2899,2595,2687,2381,2801,3004,3323,3190
"Scap_2C01_ad_00193",491,515,508,473,401,558,633,629,596
"Scap_2C01_ad_00194",503,451,432,466,435,522,443,475,398
"Scap_2C01_ad_00195",161,150,126,147,88,123,61,91,80
"Scap_2C01_ad_00196",1493,1393,1209,1004,886,1217,656,695,662
"Scap_2C01_ad_00197",12767,12557,10522,4111,3607,4182,2627,3202,3032
"Scap_2C01_ad_00198",39267,40120,30218,36854,32382,37023,30166,36051,36008
"Scap_2C01_ad_00199",59480,61254,55023,110430,111924,133626,62954,76109,78674
"Scap_2C01_ad_00200",51210,50205,46226,90754,93030,112145,51226,61768,59646
"Scap_2C01_ad_00201",3143,3255,3257,5128,5135,7165,7069,7301,6021
"Scap_2C01_ad_00202",1619,1409,1399,5504,5564,7581,9248,8207,8032
"Scap_2C01_ad_00203",17184,14427,12893,9926,10452,12305,1709,1990,2101
"Scap_2C01_ad_00204",31,26,30,8,5,13,5,8,3
"Scap_2C01_ad_00205",288,236,192,95,95,109,101,112,95
"Scap_2C01_ad_00206",133,117,102,46,44,53,53,48,43
"Scap_2C01_ad_00207",435,399,396,164,153,205,192,187,211
"Scap_2C01_ad_00208",2686,2823,3160,1921,2434,2164,1258,1412,1638
"Scap_2C01_ad_00209",12262,13395,14588,8704,10468,9916,5109,5903,6727
"Scap_2C01_ad_00210",1992,2211,2845,2276,3109,3278,2456,2132,2334
"Scap_2C01_ad_00211",10292,10982,12492,11220,14695,13008,8909,8084,9392
"Scap_2C01_ad_00212",15116,16487,21479,17375,24036,22559,14948,11666,14003
"Scap_2C01_ad_00213",1979,2106,3004,2124,3071,3625,2629,1974,2051
"Scap_2C01_ad_00214",2214,2424,3206,2397,3271,3336,2807,2043,2207
"Scap_2C01_ad_00215",6833,6893,8136,5969,7793,8280,5830,5053,5467
"Scap_2C01_ad_00216",664173,528076,428654,46718,48442,57132,20342,19276,20169
"Scap_2C01_ad_00217",20739,18492,15824,5044,4600,5219,4423,4803,4611
"Scap_2C01_ad_00218",759,762,694,495,455,644,654,721,637
"Scap_2C01_ad_00219",4151,4165,3610,2451,2209,2627,2759,3253,3010
"Scap_2C01_ad_00220",3327,3744,3333,6582,5572,7532,6513,7189,6484
"Scap_2C01_ad_00221",1637,1539,1244,5688,4497,4974,4492,4685,4658
"Scap_2C01_ad_00222",2227,2225,1789,7861,6068,6280,5322,6038,6338
"Scap_2C01_ad_00223",964,1087,922,9968,10715,16032,17626,15430,13107
"Scap_2C01_ad_00224",18340,18593,15215,40616,36766,41462,28937,32444,29022
"Scap_2C01_ad_00225",9609,10703,8857,22079,18174,21428,20055,23571,23289
"Scap_2C01_ad_00226",46,47,38,41,32,41,71,88,86
"Scap_2C01_ad_00227",2,2,3,1,0,5,2,0,1
"Scap_2C01_ad_00228",0,0,0,2,0,1,0,0,0
"Scap_2C01_ad_00229",2219,2221,1966,11108,9416,10208,13607,14918,14705
"Scap_2C01_ad_00230",2798,2608,2334,1900,1819,2254,1716,2063,1938
"Scap_2C01_ad_00231",172,161,161,376,377,459,1159,1241,975
"Scap_2C01_ad_00232",1558,1887,1533,928,739,833,722,936,1155
"Scap_2C01_ad_00233",3994,3470,3834,14719,18351,23252,37123,29646,26147
"Scap_2C01_ad_00234",882,721,824,2801,3294,4798,7410,5860,5435
"Scap_2C01_ad_00235",419,372,347,243,244,277,234,313,275
"Scap_2C01_ad_00236",988,1092,1121,691,718,1163,1149,1220,1013
"Scap_2C01_ad_00237",13160,14048,13038,8486,8165,9673,9363,9945,9319
"Scap_2C01_ad_00238",23731,25032,22111,12752,12002,14186,13701,15714,14976
"Scap_2C01_ad_00239",2885,3148,2936,1837,1794,1978,1785,2023,1994
"Scap_2C01_ad_00240",6488,6627,5950,4915,4271,5501,4883,5279,5010
"Scap_2C01_ad_00241",19241,19092,16767,58556,69418,97534,81371,80668,74656
"Scap_2C01_ad_00242",1537,1484,1414,1677,1475,1676,2380,2432,2297
"Scap_2C01_ad_00243",1039,1163,1195,1267,1259,1459,2095,1853,1779
"Scap_2C01_ad_00244",1717,1836,1981,2057,2089,2496,3524,3214,3032
"Scap_2C01_ad_00245",2033,2069,1866,2212,1878,2271,1999,2147,1993
"Scap_2C01_ad_00246",1621,1840,1457,7508,6415,7028,14170,15090,13678
"Scap_2C01_ad_00247",2248,2659,2907,98270,91622,105654,118293,101797,98565
"Scap_2C01_ad_00248",9053,11182,12837,118175,137586,152763,178821,130238,127840
"Scap_2C01_ad_00249",5072,6323,7889,91932,105740,111862,137687,102692,102982
"Scap_2C01_ad_00250",5787,6833,7354,116951,127172,127520,149336,120273,129566
"Scap_2C01_ad_00251",2226,2508,2711,44941,54034,59161,67674,50195,49910
"Scap_2C01_ad_00252",455,561,620,16441,20217,21676,26039,17866,19036
"Scap_2C01_ad_00253",451,559,813,68202,91273,95199,120414,76270,80142
"Scap_2C01_ad_00254",499,583,728,56345,63867,61882,77926,59303,69690
"Scap_2C01_ad_00255",1202,1309,1249,7213,7216,8997,11636,12357,10834
"Scap_2C01_ad_00256",1405,1177,923,791,741,764,696,759,739
"Scap_2C01_ad_00257",15,7,13,28,28,47,83,69,67
"Scap_2C01_ad_00258",159108,182445,146757,282464,240875,253576,160464,161972,145695
"Scap_2C01_ad_00259",21045,23915,21186,40358,34635,37769,27070,26787,22504
"Scap_2C01_ad_00260",17582,18743,17797,20486,19192,22317,14895,14097,13888
"Scap_2C01_ad_00261",14241,14327,12361,11845,9855,10421,18025,22052,21604
"Scap_2C01_ad_00262",6273,6010,5469,3164,2777,3852,3675,3798,3437
"Scap_2C01_ad_00263",6526,8285,7592,8725,7725,8950,9896,9298,8530
"Scap_2C01_ad_00264",6862,8149,7305,8178,7312,8092,9526,9513,8290
"Scap_2C01_ad_00265",2912,3039,3206,5198,5734,6774,6976,7597,7068
"Scap_2C01_ad_00266",2427,2631,3150,2847,4247,4325,3364,2907,2699
"Scap_2C01_ad_00267",881,923,858,1504,1400,1494,2253,2219,2326
"Scap_2C01_ad_00268",2598,2709,2426,3690,3365,3833,5330,5123,5381
"Scap_2C01_ad_00269",357,340,385,599,570,721,816,742,668
"Scap_2C01_ad_00270",3383,4056,4809,10974,14108,15261,18174,14995,13778
"Scap_2C01_ad_00271",4049,4348,3981,91768,117277,121739,36487,27102,35009
